"hof","median_age_debut","min_age_debut","max_age_debut","median_career_length","min_career_length","max_career_length"
"Y","21 years 7 mons 18 days","17 years 1 mon 25 days","42 years 2 days","17 years 2 mons 9 days","00:00:00","32 years 4 mons 26 days"
"N","23 years 9 mons 23 days","15 years 10 mons 11 days","42 years 2 days","5 years 2 mons 27 days","00:00:00","35 years 2 mons 18 days"
