"teamid","yearid","annual_payroll","cumulative_payroll"
"TBA",1999,"38870000","66150000"
"TBA",2000,"62765129","128915129"
"TBA",2001,"56980000","185895129"
"TBA",2002,"34380000","220275129"
"TBA",2003,"19630000","239905129"
"TBA",2004,"29556667","269461796"
"TBA",2005,"29679067","299140863"
"TBA",2006,"34917967","334058830"
"TBA",2007,"24123500","358182330"
"TBA",2008,"43820597","402002927"
"TBA",2009,"63313034","465315961"
"TBA",2010,"71923471","537239432"
"TBA",2011,"41053571","578293003"
"TBA",2012,"64173500","642466503"
"TBA",2013,"52955272","695421775"
"TBA",2014,"72689100","768110875"
"TBA",2015,"64521233","832632108"
"TBA",2016,"57097310","889729418"
"TEX",1985,"7676500","7676500"
"TEX",1986,"6743119","14419619"
"TEX",1987,"880000","15299619"
"TEX",1988,"5342131","20641750"
"TEX",1989,"11893781","32535531"
"TEX",1990,"14874372","47409903"
"TEX",1991,"18224500","65634403"
"TEX",1992,"30128167","95762570"
"TEX",1993,"36376959","132139529"
"TEX",1994,"32973597","165113126"
"TEX",1995,"34581451","199694577"
"TEX",1996,"39041528","238736105"
"TEX",1997,"53448838","292184943"
"TEX",1998,"56572095","348757038"
"TEX",1999,"76709931","425466969"
"TEX",2000,"70795921","496262890"
"TEX",2001,"88633500","584896390"
"TEX",2002,"105526122","690422512"
"TEX",2003,"103491667","793914179"
"TEX",2004,"55050417","848964596"
"TEX",2005,"55849000","904813596"
"TEX",2006,"68228662","973042258"
"TEX",2007,"68318675","1041360933"
"TEX",2008,"67712326","1109073259"
"TEX",2009,"68178798","1177252057"
"TEX",2010,"55250544","1232502601"
"TEX",2011,"92299264","1324801865"
"TEX",2012,"120510974","1445312839"
"TEX",2013,"112522600","1557835439"
"TEX",2014,"112255059","1670090498"
"TEX",2015,"143742789","1813833287"
"TEX",2016,"176038723","1989872010"
"TOR",1985,"8812550","8812550"
"TOR",1986,"12611047","21423597"
"TOR",1987,"10479501","31903098"
"TOR",1988,"12241225","44144323"
"TOR",1989,"16261666","60405989"
"TOR",1990,"17756834","78162823"
"TOR",1991,"19902417","98065240"
"TOR",1992,"44788666","142853906"
"TOR",1993,"47279166","190133072"
"TOR",1994,"43433668","233566740"
"TOR",1995,"50590000","284156740"
"TOR",1996,"29555083","313711823"
"TOR",1997,"47079833","360791656"
"TOR",1998,"51376000","412167656"
"TOR",1999,"45444333","457611989"
"TOR",2000,"44838332","502450321"
"TOR",2001,"76895999","579346320"
"TOR",2002,"76864333","656210653"
"TOR",2003,"51269000","707479653"
"TOR",2004,"50017000","757496653"
"TOR",2005,"45719500","803216153"
"TOR",2006,"71365000","874581153"
"TOR",2007,"81942800","956523953"
"TOR",2008,"97793900","1054317853"
"TOR",2009,"80538300","1134856153"
"TOR",2010,"62234000","1197090153"
"TOR",2011,"62567800","1259657953"
"TOR",2012,"75009200","1334667153"
"TOR",2013,"126288100","1460955253"
"TOR",2014,"109920100","1570875353"
"TOR",2015,"112992400","1683867753"
"TOR",2016,"138701700","1822569453"
"WAS",2005,"48581500","48581500"
"WAS",2006,"63143000","111724500"
"WAS",2007,"36947500","148672000"
"WAS",2008,"54961000","203633000"
"WAS",2009,"59928000","263561000"
"WAS",2010,"61400000","324961000"
"WAS",2011,"63856928","388817928"
"WAS",2012,"80855143","469673071"
"WAS",2013,"113703270","583376341"
"WAS",2014,"131983680","715360021"
"WAS",2015,"155587472","870947493"
"WAS",2016,"141652646","1012600139"
